"El silencio final. Representación y gesto ante la muerte en Diario de muerte, de Enrique Lihn","Ozuljevic, Ashle ",Ensayo,
Lecturas crítico-feministas,"Mora, Gabriela",Ensayo,
Vida y muerte del doctor Martín Gambarotta,"León, Gonzalo ",Narrativa,
La insurrección invisible de un millón de mentes,"Trocchi, Alexander ",Narrativa,*
"Rebeldes, soñadores y fugitivos","Soriano, Osvaldo ",Narrativa,
Dios es chileno,"Costamagna, Alejandra (y otros 9)",Narrativa,
Poesía reunida ,"Lavín, Alejandro",Poesía,
Bosque quemado,"Brodsky, Roberto ",Narrativa,
El mundo de los perros y la literatura ,"Surbercaseaux, Bernardo ",Narrativa,
El hombre en suspenso,"Bellow, Saul ",Narrativa,
Desconciertos ,"Eisner Sagués, Federico ",Narrativa,
El insomnio de Bolívar,"Volpi, Jorge ",Ensayo,
Música marciana,"Bisama, Álvaro ",Narrativa,
El sendero del irivenir,"Forsyth Tessey, Paul ",Poesía,
Música para tarántulas,"Lino, Diego ",Poesía,
El funambulista,"Genet, Jean ",Narrativa,
"Obras selectas: Diccionario filosófico, novelas, cartas filosóficas",Voltaire,Filosofía,
"Raices de sentido: Sobre egipcios, griegos, judíos y cristianos","Echeverría, Rafael ",Ensayo (filosofía),
El espíritu de las leyes,"Cerda, Carlos ",Novela,
Todas las verdades se tocan: Discurso pronunciado en la instalación de la Universidad de Chile el día 17 de septiembre de 1843,"Bello, Andrés ",Ensayo,
Usted está muy mal,"Davidson, Neil ",Ensayo,
Los inesperados: Crónicas,"Vejar, Francisco ",Ensayo,
La basura de Grecia,"Ramone, K. ",Narrativa,
Selección nacional: Muestra de poesía chilena deportiva,"Urzúa de la Sota, Andrés",Poesía,
Una chica en invierno,"Larkin, Philip",Narrativa,*
Todo puede ser,"Undurraga, Vicente ",Ensayo,
Antologia imaginaria,Chinoy,Poesía,
Parche curita. Teatro para la convivencia,"Rojas Escalona, René",Teatro,
Mientras el aire es nuestro,"Guillén, Jorge ",Poesía,
La región más transparente ,"Fuentes, Carlos",Narrativa,
Disecado,"Bellatin, Mario",Narrativa,
La destrucción o el amor,"Aleixandre, Vicente",Poesía,
Las puertas del infierno,"Díaz-Granados, José Luis ",Narrativa,
A las puertas del infierno: El viaje de un soldado de la guerra a la paz,"Anshin Thomas, Claude",Ensayo,
Cómo se formó la garganta de la ballena y otros cuentos,"Kipling, Rudyard",Narrativa,
Matemáticos que cambiaron al mundo: Vidas de genios del número y la forma que fueron famosos y dejaron huella en la historia,"Jiménez, Douglas ",Ensayo,
Campo santo,"Sebald, W.G ",Narrativa,
El disco de Newton,"Simonetti, Marcelo ",Narrativa,
Perro muerto,"Quercia, Boris ",Narrativa,
El abanico de madame Czechowska,"Simonetti, Marcelo ",Narrativa,*
La guerra de los duraznos,"Ampuero, Roberto ",Narrativa,
Marinero en tierra; La amante; El alba del alhelí,"Albertí, Rafael ",Poesía,
Campos de Castilla,"Machado, Antonio",Poesía,
Angelus de mediodía,"Navarro, Eliana ",Poesía,
Poesía chilena en el siglo XX,"Alegría, Fernando ",Ensayo,
Sin remedio,"Caballero, Antonio ",Narrativa,
M,"Schierloh, Eric",Narrativa,
El nombre de la rosa,"Eco, Humberto ",Narrativa,
El ultimo día de terranova,"Rivas, Manuel",Narrativa,
El marido de mi madrastra,"Venturini, Aurora ",Narrativa,
Crónicas del chakal,"Torres Meza, Andrés ",Poesía,
Odisea,Homero,Narrativa,
Recuerdos que mienten un poco,"Solari, Indio ",Narrativa (biografía),
Diarios,"Pizarnik, Alejandra",Narrativa (diarios),
El sermón de la montaña (1970),"Zurita, Raúl",Poesía,
"Rock, paria y lo que en él se dice ","Mallea, Francisco",Poesía,
Jardines imaginarios,"Bustos, David",Poesía,
No rayes: Graffiti de baños en Santiago,"Arancibia, Nicolás",Arte,
Adiós,"Bertoni, Claudio",Poesía,
Grafitto: Graffiti Sudamericano= Southamerican Graffiti,"Lomboy Castillo, Pedro; Alfaro Vega, Braulio",Arte,
Los enamoramientos ,"Marías, Javier ",Narrativa,
El activismo internacional mapuche: Un arma poderosa contra las violaciones de sus derechos humanos,"Habersang, Anja; Ydígoras, Pamela",Ensayo,
Tres inmensas novelas,"Huidobro, Vicente; Arp, Hans",Novela,
Lyrics,"Coddou, Sergio",Poesía,
Oda,"Casas, Fabián ",Poesía,
"Santiago Quiñones, tira","Quercia, Boris",Narrativa,
Para matar este tiempo,"Riedemann, Guillermo ",Poesía,
Elegía para un americano,"Hustvedt, Siri ",Narrativa,
Cuentos completos,"Capote, Truman ",Narrativa,
Un mundo para Julius,"Bryce Echenique, Alfredo",Narrativa,
El imperio,"Kapuscinksy, Ryszard ",Narrativa,
El lector ,"Schlink, Bernhard ",Narrativa,
Ciudad Bárbara,"Martinez Trabucco, Rolando ",Poesía ,
Mapa de guerra,"Serrano, Eduardo ",Poesía,
El doble veredicto de la piedra,"Pellegrini, Marcelo ",Poesía,
Herida de mi herida,"López Degragori, Carlos ",Poesía,
Jauría,"González Celis, Alejandra Sofía ",Poesía,
Paisajes (No habrá muerte. Aquí terminará el cuento,"Araya Lira, Macarena",Narrativa,
Agosto,"Paula, Romina ",Narrativa,
Todos los relatos ,"Svevo, Italo ",Narrativa,
Mi Nietzsche: La filosofía del devenir y el emprendimiento,"Echeverría, Rafael ",Filosofia,
Felices escrituras,"Cruz, Cristián",Poesía,
Hamburgo en las barricadas: y otros escritos sobre la Alemania de Weimar,"Reisner, Larisa ",Ensayo (Historia),
Kafka en primera persona: Diarios de vida,"Kafka, Franz ",Narrativa,*
Padecimiento psíquico y argumentación,"Díaz Alegría, Natalia ",Ensayo (Psicología),
De la realidad a la literatura,"Pitol, Sergio",Ensayo (literatura),
Aniversario y otros poemas,"Rivas, Matías ",Poesía,
Ferrantes ,"Fernández Chadwick, Patricio",Narrativa,
Lengua de señas,AYLabc,Poesía,
